DH	INJV	Xt	Mt	XMt	NDH
2.31822	1	0.0	0.125	3.14649	28.97781
-63.51521	1	0.39139	0.12439	6.30837	-793.94009
-85.91778	1	0.78085	0.12378	9.48565	-1073.97225
-91.05977	1	1.16839	0.12317	12.67832	-1138.24718
-81.61967	1	1.554	0.12257	15.88639	-1020.24588
-70.41646	1	1.93769	0.12197	19.10985	-880.2058
-65.35928	1	2.31946	0.12138	22.3487	-816.99095
-65.12637	1	2.6993	0.12078	25.60295	-814.07958
-66.58666	1	3.07722	0.12019	28.87259	-832.33329
-67.31679	1	3.45321	0.1196	32.15762	-841.45982
-66.60611	1	3.82728	0.11902	35.45805	-832.57639
-64.38018	1	4.19943	0.11843	38.77388	-804.75224
-60.84934	1	4.56965	0.11785	42.10509	-760.61674
-56.2383	1	4.93794	0.11728	45.4517	-702.9787
-48.03696	1	5.30431	0.1167	48.8137	-600.46203
-33.62373	1	5.66876	0.11613	52.1911	-420.29664
-17.70517	1	6.03129	0.11556	55.58389	-221.31456
-7.19009	1	6.39189	0.115	58.99208	-89.87607
-0.0251	1	6.75056	0.11443	62.41566	-0.31377
3.13402	1	7.10731	0.11387	65.85463	39.17521
3.76638	1	7.46214	0.11331	69.30899	47.07972
2.94263	1	7.81504	0.11276	72.77875	36.78287
0.97963	1	8.16602	0.1122	76.26391	12.2454
-2.37712	1	8.51507	0.11165	79.76446	-29.71403
-7.00684	1	8.8622	0.1111	83.2804	-87.58544
-13.34526	1	9.20741	0.11056	86.81173	-166.81579
-22.96709	1	9.55069	0.11002	90.35846	-287.08862
-34.32556	1	9.89205	0.10948	93.92058	-429.0695
-43.74717	1	10.23148	0.10894	97.4981	-546.83965
-45.90064	1	10.56899	0.1084	101.09101	-573.75794
-37.48803	1	10.90458	0.10787	104.69931	-468.60036
-23.99224	1	11.23824	0.10734	108.32301	-299.90294
-13.84076	1	11.56997	0.10681	111.9621	-173.00945
-8.26248	1	11.89978	0.10628	115.61659	-103.28098
-4.7075	1	12.22767	0.10576	119.28647	-58.84373
-2.60799	1	12.55363	0.10524	122.97174	-32.59993
-1.53345	1	12.87767	0.10472	126.67241	-19.16808
-0.74634	1	13.19979	0.1042	130.38847	-9.3292
--		13.51998	0.10369	--	
