DH	INJV	Xt	Mt	XMt	NDH
-12.61633	1	0.0	0.15	3.27759	-126.16327
-98.97313	1	0.48923	0.14927	6.57122	-989.73126
-124.8167	1	0.97606	0.14854	9.88089	-1248.16703
-124.58699	1	1.46049	0.14781	13.20659	-1245.86992
-111.37121	1	1.9425	0.14709	16.54832	-1113.71208
-101.01623	1	2.42212	0.14637	19.90609	-1010.16229
-97.94734	1	2.89932	0.14565	23.2799	-979.47336
-99.68114	1	3.37413	0.14494	26.66974	-996.81137
-100.23316	1	3.84652	0.14423	30.07561	-1002.33161
-99.95065	1	4.31651	0.14352	33.49753	-999.5065
-98.26036	1	4.7841	0.14282	36.93547	-982.6036
-94.74535	1	5.24928	0.14212	40.38945	-947.45348
-89.65007	1	5.71206	0.14142	43.85947	-896.50074
-78.28223	1	6.17243	0.14073	47.34552	-782.82232
-56.42585	1	6.63039	0.14004	50.84761	-564.25855
-31.92951	1	7.08595	0.13936	54.36573	-319.29511
-11.44931	1	7.53911	0.13867	57.89989	-114.49313
0.10766	1	7.98986	0.13799	61.45008	1.07656
5.65463	1	8.4382	0.13732	65.01631	56.54629
9.58038	1	8.88414	0.13664	68.59857	95.80379
8.02401	1	9.32767	0.13597	72.19687	80.24005
5.87701	1	9.7688	0.13531	75.8112	58.77014
2.50048	1	10.20753	0.13464	79.44157	25.00476
-2.64538	1	10.64384	0.13398	83.08797	-26.45378
-9.02109	1	11.07776	0.13333	86.75041	-90.21089
-20.88505	1	11.50926	0.13267	90.42889	-208.85047
-33.42268	1	11.93836	0.13202	94.1234	-334.2268
-50.87727	1	12.36506	0.13137	97.83394	-508.77272
-62.24828	1	12.78935	0.13073	101.56052	-622.48279
-61.99821	1	13.21124	0.13008	105.30314	-619.98209
-48.10228	1	13.63072	0.12944	109.06179	-481.02277
-29.6597	1	14.04779	0.12881	112.83647	-296.59702
-16.27846	1	14.46246	0.12817	116.62719	-162.78461
-9.78449	1	14.87473	0.12754	120.43395	-97.84486
-6.10334	1	15.28459	0.12691	124.25674	-61.03337
-2.4163	1	15.69204	0.12629	128.09556	-24.16297
0.83172	1	16.09709	0.12566	131.95043	8.31718
-1.00227	1	16.49974	0.12504	135.82132	-10.02268
--		16.89997	0.12443	--	
